player_name,total_wpa,plate_appearances
"Bellinger, Cody",3.938,300
"Judge, Aaron",3.548,260
"Horwitz, Spencer",3.214,224
"Freeman, Freddie",3.07,264
"Lowe, Brandon",3.044,234
"O'Hearn, Ryan",2.794,246
"De La Cruz, Elly",2.41,308
"Chourio, Jackson",2.332,246
"Rooker, Brent",2.3219999999999996,272
"Kirk, Alejandro",2.25,190
"Buxton, Byron",2.25,208
"Winn, Masyn",2.206,230
"Happ, Ian",2.198,276
"Alonso, Pete",1.964,300
"Sheets, Gavin",1.95,240
"Busch, Michael",1.864,234
"Wood, James",1.84,288
"Lowe, Josh",1.838,202
"Soto, Juan",1.824,284
"Langeliers, Shea",1.774,214
"Straw, Myles",1.77,150
"Stanton, Giancarlo",1.718,162
"Greene, Riley",1.718,278
"Frelick, Sal",1.712,250
"Collins, Isaac",1.7040000000000002,212
"Springer, George",1.658,276
"Turner, Trea",1.654,258
"Stowers, Kyle",1.564,164
"Lopez, Otto",1.558,288
"Volpe, Anthony",1.548,290
"Chisholm Jr., Jazz",1.542,236
"Pham, Tommy",1.5259999999999998,214
"Ohtani, Shohei",1.5219999999999998,298
"Steer, Spencer",1.514,284
"Aranda, Jonathan",1.484,226
"Muncy, Max",1.478,204
"Dingler, Dillon",1.4460000000000002,184
"Perdomo, Geraldo",1.434,296
"Turang, Brice",1.4080000000000001,270
"Vientos, Mark",1.392,228
"Harris II, Michael",1.338,268
"Suzuki, Seiya",1.3239999999999998,284
"Duran, Jarren",1.274,296
"Lukes, Nathan",1.27,216
"Cronenworth, Jake",1.22,194
"Vargas, Miguel",1.204,250
"Smith, Will",1.192,170
"Stephenson, Tyler",1.19,152
"Conforto, Michael",1.1880000000000002,204
"Lowe, Nathaniel",1.172,262
"Polanco, Jorge",1.1360000000000001,204
"Carroll, Corbin",1.13,230
"India, Jonathan",1.12,226
"Shaw, Matt",1.084,198
"Friedl, TJ",1.074,294
"Guerrero Jr., Vladimir",1.068,308
"Edman, Tommy",1.026,172
"Rodríguez, Julio",1.0159999999999998,306
"Sánchez, Jesús",1.0,244
"Wells, Austin",0.974,194
"Laureano, Ramón",0.93,190
"Donovan, Brendan",0.9220000000000002,208
"Ramírez, Agustín",0.8899999999999999,290
"Naylor, Josh",0.872,214
"Bichette, Bo",0.8380000000000001,260
"Abrams, CJ",0.8320000000000002,290
"Adames, Willy",0.822,286
"Larnach, Trevor",0.8140000000000001,226
"Torres, Gleyber",0.8140000000000001,292
"Witt Jr., Bobby",0.794,298
"Caballero, José",0.774,156
"Semien, Marcus",0.71,206
"Manzardo, Kyle",0.6679999999999999,228
"Baldwin, Drake",0.6639999999999999,184
"Arraez, Luis",0.6499999999999999,234
"Rafaela, Ceddanne",0.6460000000000001,264
"Cruz, Oneil",0.624,250
"Bogaerts, Xander",0.624,224
"Schwarber, Kyle",0.5919999999999999,306
"Marsh, Brandon",0.59,180
"Suárez, Eugenio",0.5720000000000001,252
"Reynolds, Bryan",0.572,276
"Lile, Daylen",0.5700000000000002,190
"Hays, Austin",0.5459999999999999,192
"Smith, Cam",0.5359999999999999,222
"McCutchen, Andrew",0.5140000000000001,244
"Garcia, Maikel",0.5140000000000001,290
"Kurtz, Nick",0.486,206
"Rojas, Miguel",0.482,154
"Urías, Luis",0.4679999999999999,154
"Raleigh, Cal",0.4579999999999999,306
"Carpenter, Kerry",0.45200000000000007,208
"Hicks, Liam",0.43200000000000005,158
"Yelich, Christian",0.43200000000000005,274
"Murphy, Sean",0.402,150
"Wilson, Jacob",0.40000000000000013,228
"Iglesias, Jose",0.4000000000000001,166
"Lux, Gavin",0.36800000000000005,204
"Jung, Josh",0.3640000000000002,290
"Diaz, Yainer",0.3500000000000001,210
"Jones, Nolan",0.35,156
"Tucker, Kyle",0.342,262
"Trout, Mike",0.33999999999999986,216
"McKinstry, Zach",0.338,216
"Nootbaar, Lars",0.32200000000000006,210
"Caminero, Junior",0.29,298
"Hoerner, Nico",0.2740000000000001,276
"Contreras, William",0.2520000000000001,252
"Durbin, Caleb",0.244,240
"Santana, Carlos",0.2380000000000001,152
"Merrill, Jackson",0.232,182
"Keith, Colt",0.21400000000000008,164
"Narváez, Carlos",0.18600000000000003,218
"Henderson, Gunnar",0.17799999999999996,310
"Benintendi, Andrew",0.16599999999999993,212
"Lindor, Francisco",0.15000000000000008,314
"Rice, Ben",0.13999999999999999,248
"Norby, Connor",0.13600000000000007,204
"Tatis Jr., Fernando",0.13600000000000004,258
"Pagés, Pedro",0.10799999999999998,158
"Arias, Gabriel",0.10799999999999996,216
"Scott II, Victor",0.10600000000000001,178
"García Jr., Luis",0.10399999999999995,242
"Báez, Javier",0.09000000000000001,164
"Andujar, Miguel",0.07999999999999997,158
"Bregman, Alex",0.06200000000000004,176
"Grisham, Trent",0.05000000000000021,284
"Taylor, Tyrone",0.04200000000000005,150
"Frazier, Adam",-0.027999999999999907,204
"Soderstrom, Tyler",-0.04800000000000011,262
"France, Ty",-0.05000000000000003,180
"Hernández, Teoscar",-0.06599999999999995,266
"Moreno, Gabriel",-0.07600000000000001,156
"Clement, Ernie",-0.07999999999999997,262
"Hayes, Ke'Bryan",-0.12399999999999997,246
"Nimmo, Brandon",-0.12599999999999995,282
"Langford, Wyatt",-0.1479999999999999,202
"Pages, Andy",-0.16600000000000012,288
"Albies, Ozzie",-0.16999999999999976,262
"Díaz, Yandy",-0.19000000000000006,264
"Kepler, Max",-0.202,190
"Peña, Jeremy",-0.22399999999999998,176
"Giménez, Andrés",-0.268,152
"Tauchman, Mike",-0.286,152
"García, Adolis",-0.3039999999999998,254
"Herrera, Iván",-0.30800000000000005,182
"Crow-Armstrong, Pete",-0.32,280
"Kiner-Falefa, Isiah",-0.33399999999999985,198
"Baty, Brett",-0.34,190
"Mangum, Jake",-0.344,166
"Harper, Bryce",-0.36799999999999994,192
"Marte, Ketel",-0.3680000000000001,214
"Domínguez, Jasson",-0.372,162
"Acuña Jr., Ronald",-0.378,228
"Urías, Ramón",-0.38,212
"Goodman, Hunter",-0.41000000000000003,226
"Correa, Carlos",-0.41400000000000003,258
"Stott, Bryson",-0.422,252
"Betts, Mookie",-0.4899999999999998,260
"Abreu, Wilyer",-0.496,188
"Burleson, Alec",-0.5,196
"Crawford, J.P.",-0.5079999999999999,268
"McNeil, Jeff",-0.524,224
"Arenado, Nolan",-0.5559999999999999,198
"Pasquantino, Vinnie",-0.5700000000000001,294
"Barger, Addison",-0.5760000000000001,260
"Walker, Christian",-0.5919999999999999,254
"Heim, Jonah",-0.5920000000000001,206
"Torkelson, Spencer",-0.594,252
"Mullins, Cedric",-0.5940000000000001,192
"Contreras, Willson",-0.602,240
"Triolo, Jared",-0.688,154
"Chapman, Matt",-0.708,220
"Jeffers, Ryan",-0.716,216
"Ramos, Heliot",-0.7219999999999999,284
"Ramírez, José",-0.768,266
"Wagaman, Eric",-0.784,230
"Schneemann, Daniel",-0.8000000000000002,192
"Sosa, Lenyn",-0.8300000000000001,250
"Moniak, Mickey",-0.832,178
"Saggese, Thomas",-0.842,158
"Adell, Jo",-0.8840000000000001,250
"Devers, Rafael",-0.8840000000000001,320
"Lee, Brooks",-0.9059999999999999,254
"Castellanos, Nick",-0.942,240
"Vaughn, Andrew",-0.9880000000000001,172
"Allen, Nick",-0.992,164
"Paredes, Isaac",-1.012,176
"Bader, Harrison",-1.032,202
"Profar, Jurickson",-1.04,166
"Cowser, Colton",-1.046,184
"Doyle, Brenton",-1.074,238
"Naylor, Bo",-1.088,172
"Ward, Taylor",-1.0959999999999999,240
"Bell, Josh",-1.0979999999999999,236
"Bohm, Alec",-1.106,232
"Arozarena, Randy",-1.1199999999999999,306
"Machado, Manny",-1.122,252
"Lee, Jung Hoo",-1.1520000000000001,260
"Olson, Matt",-1.154,320
"Story, Trevor",-1.17,276
"Gorman, Nolan",-1.172,178
"Edwards, Xavier",-1.176,256
"Altuve, Jose",-1.238,252
"Clemens, Kody",-1.35,188
"Neto, Zach",-1.39,194
"Gurriel Jr., Lourdes",-1.436,196
"Walker, Jordan",-1.4400000000000002,174
"Holliday, Jackson",-1.5,284
"Kwan, Steven",-1.632,288
"Pérez, Wenceel",-1.654,196
"Ortiz, Joey",-1.662,182
"Schanuel, Nolan",-1.662,194
"Thomas, Alek",-1.716,184
"Gonzales, Nick",-1.778,182
"Rengifo, Luis",-1.816,226
"Higashioka, Kyle",-1.826,176
"Swanson, Dansby",-1.862,272
"Perez, Salvador",-1.8659999999999999,266
"Marte, Noelvi",-1.884,212
"Lewis, Royce",-1.89,160
"Realmuto, J.T.",-1.8900000000000001,230
"Ozuna, Marcell",-1.926,262
"Kelly, Carson",-2.024,170
"Dubón, Mauricio",-2.088,202
"Butler, Lawrence",-2.102,270
"Martínez, Angel",-2.164,216
"Quero, Edgar",-2.204,208
"Smith, Josh",-2.23,252
"Simpson, Chandler",-2.31,252
"Goldschmidt, Paul",-2.326,222
"Beck, Jordan",-2.378,278
"Flores, Wilmer",-2.428,188
"Yastrzemski, Mike",-2.4299999999999997,250
"McMahon, Ryan",-2.5,254
"Bailey, Patrick",-2.66,184
"Meidroth, Chase",-2.662,220
"O'Hoppe, Logan",-2.846,188
"Riley, Austin",-2.96,214
"Tovar, Ezequiel",-3.046,176
"McLain, Matt",-3.71,264
